Inf,-82.43,-106.97,-120.06,-79.84,-95.13;
-79.42,Inf,-85.43,-100.98,-88.94,-85.52;
-100.95,-82.42,Inf,-79.61,-105.75,-95.11;
-120.06,-103.99,-85.63,Inf,-122.96,-111.61;
-79.84,-91.95,-111.77,-122.96,Inf,-85.37;
-89.11,-82.51,-95.11,-105.59,-79.35,Inf
Inf,33.54,-nan,25.40,-nan,23.69,25.29,30.64,30.99,22.87,32.19,-nan,-nan,Inf,18.03,12.08,18.31,19.18,24.16,8.16,22.64,21.33,14.76,16.46,25.16,Inf,22.90,-1.41,5.63,10.50,13.68,14.93,7.22,24.39,20.70,2.88,17.80,13.81,19.42,Inf,23.88,30.31,27.56,22.89,11.24,43.91,29.41,34.55,51.75,38.56,31.78,29.38,26.80,Inf,-nan,29.45,-nan,26.58,32.68,21.35,31.76,-nan,11.02,30.87,35.10,-nan,15.25,25.48,-nan,-nan,Inf,13.86,16.23,19.83,-nan,21.95,23.80,18.31,14.10,16.45,-nan,7.67,8.46,-nan,20.89
