Inf,-82.35,-100.96,-126.00,-82.36,-95.06;
-82.35,Inf,-79.36,-106.97,-91.84,-85.68;
-103.97,-82.38,Inf,-85.38,-108.60,-95.16;
-122.99,-103.96,-79.36,Inf,-125.97,-111.72;
-82.36,-91.84,-105.59,-128.98,Inf,-85.77;
-92.05,-82.67,-89.14,-111.72,-82.76,Inf
Inf,24.60,23.57,-nan,26.49,22.16,36.43,23.63,30.87,30.44,24.02,26.78,24.48,Inf,-nan,-nan,32.41,-nan,21.28,21.21,-nan,18.11,-nan,-nan,-nan,Inf,46.87,36.33,29.39,28.72,42.09,30.02,37.07,28.47,Inf,-nan,27.03,19.72,-0.67,17.50,23.77,22.72,20.40,21.12,-nan,31.51,20.87,12.15,18.10,6.93,21.15,29.53,-nan,Inf,-nan,-nan,-nan,23.38,-nan,-nan,25.08,25.07,17.05,23.28,32.46,-nan,16.02,16.86,-nan,35.11,25.00,25.82,Inf,19.01,16.24,13.24,24.13,16.19,19.29,20.06,-nan,-nan,-nan,9.86,-nan,25.55,-nan,13.70,22.01
