Inf,-80.03,-107.17,-123.12,-85.64,-92.40;
-80.03,Inf,-85.39,-103.97,-94.91,-82.37;
-101.15,-79.36,Inf,-82.35,-111.62,-91.88;
-120.11,-100.96,-85.36,Inf,-128.98,-108.62;
-79.62,-88.89,-111.62,-125.97,Inf,-82.53;
-89.39,-79.36,-94.89,-108.62,-85.54,Inf
Inf,26.57,32.45,-nan,28.94,42.48,29.07,22.74,28.56,21.88,29.52,25.90,38.13,30.34,24.94,28.86,Inf,26.48,26.35,33.22,-nan,29.74,-nan,21.77,34.09,29.21,25.90,20.08,35.48,-nan,28.03,36.84,30.51,22.99,Inf,15.40,21.84,2.34,-nan,21.11,21.58,3.34,17.77,-nan,15.18,12.36,-nan,9.90,2.84,7.03,17.14,2.47,Inf,41.39,32.05,25.80,27.88,26.49,28.76,27.52,35.51,28.03,37.74,40.15,25.26,23.04,31.41,22.86,26.47,26.53,27.05,Inf,5.27,12.87,18.87,10.58,19.62,15.86,12.63,17.33,32.03,9.14,25.57,12.21,-nan,16.80,Inf,22.04,17.60,25.42,25.59,15.76,25.55,27.41,25.30,16.83,24.70,22.50,17.23,22.39,27.49,23.64,25.60
