Inf,-76.39,-102.00,-119.03,-75.15,-87.47;
-79.40,Inf,-82.24,-101.97,-84.32,-78.19;
-98.99,-76.22,Inf,-82.38,-99.77,-87.27;
-116.02,-95.95,-82.38,Inf,-115.43,-102.82;
-78.16,-84.32,-105.79,-121.45,Inf,-79.48;
-87.47,-75.18,-90.28,-105.83,-76.47,Inf
Inf,21.29,-nan,18.00,14.25,23.13,20.70,-nan,27.47,21.64,26.07,15.47,23.99,25.47,Inf,-nan,-nan,-nan,41.15,-nan,-nan,-nan,-nan,-nan,-nan,-nan,39.28,-nan,-nan,-nan,-nan,-nan,-nan,-nan,Inf,26.48,15.83,7.34,-nan,28.61,20.16,13.23,9.83,26.93,8.99,20.32,22.24,-nan,11.60,-nan,28.97,Inf,21.22,19.97,24.87,20.86,-nan,25.41,38.59,23.11,23.94,36.96,Inf,40.22,31.13,38.05,29.28,33.95,36.79,40.71,33.75,33.12,-nan,28.54,Inf,22.77,28.31,18.57,24.52,-nan,18.80,27.05,22.68,27.27,28.74,-nan,20.95,25.77,-nan,23.78,27.89,25.81,16.11,14.16
