Inf,-79.81,-95.96,-119.14,-75.76,-90.42;
-79.81,Inf,-76.37,-101.93,-84.25,-81.25;
-98.97,-79.38,Inf,-82.32,-99.77,-90.27;
-116.13,-98.92,-76.30,Inf,-115.43,-105.75;
-78.77,-87.26,-99.77,-121.45,Inf,-82.32;
-87.41,-78.24,-84.25,-105.75,-76.30,Inf
Inf,25.20,34.53,22.76,28.24,33.02,18.75,20.61,29.47,31.92,23.89,23.58,28.27,24.52,23.11,Inf,-nan,-nan,-nan,-nan,-nan,27.64,-nan,-nan,-nan,13.65,-nan,-nan,-nan,25.13,-nan,-nan,-nan,19.43,Inf,34.14,27.08,24.75,35.04,22.77,29.08,22.17,-nan,34.52,29.14,27.82,Inf,32.65,24.92,12.62,28.49,23.74,19.51,23.64,24.70,19.41,46.08,34.65,14.92,-nan,25.14,16.89,Inf,31.92,-nan,8.28,27.51,39.24,42.96,-nan,-nan,31.87,4.80,-nan,-nan,25.43,Inf,10.19,11.32,28.17,27.02,20.07,5.93,23.42,19.72,11.82,11.57
