Inf,-79.96,-99.06,-119.33,-78.16,-85.10;
-76.95,Inf,-79.30,-101.95,-87.65,-75.24;
-96.05,-79.30,Inf,-82.49,-102.83,-84.45;
-113.31,-98.94,-79.48,Inf,-118.68,-99.72;
-75.15,-87.65,-102.83,-121.69,Inf,-77.36;
-85.10,-78.25,-87.46,-105.74,-80.37,Inf
Inf,39.21,28.66,30.92,34.20,30.58,-nan,38.09,33.83,30.29,-nan,28.29,33.98,41.76,29.01,29.12,27.31,31.55,Inf,-nan,23.99,18.71,-nan,28.05,14.33,-nan,-nan,24.94,Inf,-nan,35.69,-nan,-nan,5.73,35.90,-nan,-nan,-nan,26.72,18.85,-nan,13.38,-nan,-nan,-nan,25.74,-nan,-nan,Inf,31.36,31.54,28.62,20.77,21.68,27.24,29.93,29.47,21.14,19.91,31.90,18.30,19.68,26.82,32.04,27.46,20.13,Inf,12.15,26.90,20.87,32.05,32.11,20.44,26.24,16.49,26.91,Inf,-nan,-nan,-nan,34.69,-nan,-nan,-nan,-nan,-nan,-nan,-nan,30.99,-nan,-nan,-nan,-nan,-nan,2.44
