Inf,-82.64,-101.95,-116.02,-75.37,-85.00;
-82.64,Inf,-82.39,-99.07,-84.27,-75.37;
-101.95,-82.39,Inf,-79.30,-99.74,-84.70;
-119.03,-102.08,-82.31,Inf,-115.48,-100.14;
-81.39,-90.29,-105.76,-118.49,Inf,-76.62;
-91.02,-81.39,-90.72,-103.15,-76.62,Inf
Inf,-nan,29.57,17.49,21.93,13.06,14.86,18.51,-nan,14.02,26.74,24.10,15.77,17.77,17.79,19.69,8.97,31.86,22.39,23.49,23.16,Inf,-nan,5.47,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10.43,-nan,-nan,13.33,-nan,Inf,19.45,16.00,16.63,16.35,23.59,21.79,21.07,19.67,18.81,20.41,21.82,11.72,23.27,Inf,40.09,35.98,25.38,30.37,26.12,29.71,31.22,31.44,25.72,28.49,33.40,36.50,33.10,-nan,23.14,27.30,27.39,Inf,37.83,-nan,29.68,37.68,27.45,28.32,30.72,30.14,27.90,Inf,28.10,17.37,26.49,22.37,26.51,-nan,25.01,29.50,30.97,17.06,33.71,-nan,23.92
