Inf,-76.52,-102.21,-113.06,-78.89,-90.89;
-79.53,Inf,-82.33,-95.91,-87.31,-81.38;
-99.20,-76.31,Inf,-76.37,-102.73,-90.28;
-116.07,-95.91,-82.39,Inf,-118.47,-105.84;
-78.89,-84.30,-105.74,-115.46,Inf,-82.27;
-87.88,-75.36,-90.28,-99.82,-79.26,Inf
Inf,31.88,-nan,12.62,-nan,-nan,-nan,22.53,-nan,26.22,-nan,-nan,-nan,27.01,-nan,27.64,16.16,26.51,21.95,Inf,32.20,26.50,19.65,36.25,30.27,-nan,-nan,30.87,Inf,25.74,15.98,14.27,13.09,18.17,23.39,-nan,13.68,12.20,19.55,7.63,-nan,5.30,Inf,33.78,-nan,27.47,36.53,27.62,30.69,-nan,29.34,43.08,25.38,30.84,28.23,29.65,31.89,Inf,40.90,35.79,-nan,-nan,26.35,30.36,24.89,-nan,23.22,-nan,14.41,21.80,23.67,29.00,-nan,29.87,30.60,30.37,Inf,3.06,10.64,24.55,17.69,11.86,32.40,12.59,17.18
