Inf,-76.40,-98.92,-116.02,-75.42,-84.48;
-76.40,Inf,-79.34,-99.00,-84.25,-75.18;
-95.91,-76.33,Inf,-79.25,-99.78,-84.41;
-113.01,-95.99,-79.25,Inf,-115.50,-99.86;
-75.42,-84.25,-102.79,-118.51,Inf,-76.23;
-84.48,-75.18,-87.42,-102.87,-76.23,Inf
Inf,30.60,29.59,34.91,30.45,28.85,33.41,37.49,34.90,34.46,29.34,37.91,30.76,30.76,27.85,32.31,-nan,Inf,36.04,34.80,-nan,35.12,34.36,-nan,49.14,-nan,30.34,32.18,32.73,36.93,42.54,30.58,31.55,30.24,29.29,Inf,23.15,21.42,26.92,5.37,21.05,16.24,8.09,35.70,14.26,26.19,Inf,27.53,-nan,31.41,-nan,26.26,23.06,28.25,26.01,30.59,22.96,29.45,26.30,-nan,28.28,23.12,28.96,Inf,39.81,28.12,32.28,29.00,32.19,28.14,40.23,48.79,30.63,34.55,38.07,-nan,29.95,40.11,43.08,38.05,Inf,36.53,28.93,28.80,31.38,27.49,33.22,32.15,33.16,34.13,25.88,28.25,24.05
